C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_23_169.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_23_169.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_23_169.jpg,0,0,0,4.620368
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_23_271.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_23_271.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_23_271.jpg,0,0,0,4.56951
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_23_372.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_23_372.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_23_372.jpg,0,0,0,4.519161
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_23_472.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_23_472.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_23_472.jpg,0,0,0,4.46932
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_23_575.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_23_575.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_23_575.jpg,0,0,0,4.419979
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_23_677.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_23_677.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_23_677.jpg,0,0,0,4.371132
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_23_777.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_23_777.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_23_777.jpg,0,0,0.2711979,4.270521
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_23_879.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_23_879.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_23_879.jpg,0,0,0.5742107,4.065957
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_23_981.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_23_981.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_23_981.jpg,0,0,0.8780506,3.750953
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_24_083.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_24_083.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_24_083.jpg,0,0,0.9728218,3.367885
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_24_183.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_24_183.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_24_183.jpg,0,0,0.6688908,3.012373
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_24_284.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_24_284.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_24_284.jpg,0,0,0.375852,2.812835
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_24_384.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_24_384.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_24_384.jpg,0,0,0.06845786,2.729165
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_24_488.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_24_488.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_24_488.jpg,-0.2031132,0,0,2.693591
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_24_590.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_24_590.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_24_590.jpg,-0.5107569,0,0,2.647271
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_24_692.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_24_692.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_24_692.jpg,-0.8032873,0.2025552,0,2.680614
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_24_792.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_24_792.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_24_792.jpg,-1,0.5034441,0,3.073751
C:\Users\14127\Desktop\IMG\center_2020_05_02_10_31_24_895.jpg, C:\Users\14127\Desktop\IMG\left_2020_05_02_10_31_24_895.jpg, C:\Users\14127\Desktop\IMG\right_2020_05_02_10_31_24_895.jpg,-0.9637563,0.8013272,0,3.812929
